text,first_label,second_label
This response is my favorite because it's more or less pointing out the fallacies in the post. Corporate ladder doesn't exist and becoming a young billionaire requires being a founder or inventor.,Rational Persuasion,Logical Appeal
I would put handcuffs on her and take her to jail if I witnessed it. Vigilante justice doesn't exist here in the US. A criminal is a criminal.,Manipulation,Negative Emotional Appeal
"There are no urinals for MtFs to use, while FtMs have to go in the stall, anyway. So, to answer your question, because no one will see them, anyway.",Rational Persuasion,Logical Appeal
"My evil twin, ex girlfriend, boyfriend, hacker, friend, enemy, stranger, father, or maybe my mother figured out my password (123456) and posted that incriminating evidence. Prove me wrong.",Manipulation,Negative Emotional Appeal
"If Ayn Rand was your mother, you could leave out the commas altogether (they're for moochers anyway).",Manipulation,Others
"1. If you give them money, they will no longer have nothing! 2. Life is inherently good. I know it sounds cheesy, but like I said: anyone who tells you something's more important than life doesn't understand the true value of life (or rather, the true meaning of death).",Manipulation,Negative Emotional Appeal
"I think we should judge it on a case by case basis. For example *Annie*. When Little Orphan Annie first came out in the 1930s, she was a little Irish girl, because the Irish in that time were treated very poorly. That just wouldn't work in 2014, so they made the character black.",Rational Persuasion,Empirical Evidence
No. Not at the hands of the state when we can just as easily put them into a box for the rest of their lives.,Rational Persuasion,Others
"You better not eat any food then, the US has massive agricultural subsidies...",Manipulation,Negative Emotional Appeal
Because the Word of God™ has a nasty habit of resembling (read: exactly the same as) the pre-held beliefs of the person interpreting them.,Manipulation,Negative Emotional Appeal
"What exactly is your view? The movements exist that is a fact. The views of the movements aren't accepted by the scientific community as a whole, that is also a fact. These movements admit to that freely, they just claim for whatever reason the research has been biased/corrupted.",Rational Persuasion,Logical Appeal
"haha. Try getting the dishes done by a toddler? You will need new plates, probably a visit to ER and a professional crew to clean up your kitchen.",Manipulation,Negative Emotional Appeal
Are these workers beaten if they underperform? Does Samsung sell their children to Apple? Can management rape the workers willy-nilly?,Manipulation,Negative Emotional Appeal
"What's even worse are the english teachers who, after learning that the author intended no such symbols, go on to claim that authorial intent is irrelevant and that the interpretation being taught is obviously correct.",Rational Persuasion,Logical Appeal
"The free market will ""solve"" the problem, as long as you believe that the solution in WI is a low-quality, cheap education system. Good teachers will get jobs in other professions and in other states.",Rational Persuasion,Logical Appeal
"In a democracy, your ability to influence a decision is equal to all others ability. One person, one vote. In capitalism, the ability to influence the market depends upon money. The more money you have, the more you can 'vote'. This is inherently undemocratic.",Rational Persuasion,Empirical Evidence
"Oh, I know. In fact I assume anyone reading my post knows that. My purpose was to point out how anti-discrimination principles are unevenly applied, and the principle xdrenched was suggesting(discrimination is okay if based on ""objective"" factors) was incorrect.",Rational Persuasion,Logical Appeal
"Why would you get leather seats, which are more expensive than cloth, and then cover them with cloth (which probably don't fit very well and look stupid)? Your ""solution"" solves a problem that shouldn't even exist.",Manipulation,Negative Emotional Appeal
"Not necessarily, grooming can take place over decades. A parent can groom their kid until they're legal and then take advantage of them.",Manipulation,Others
"Isn't 3d animation a hell of a lot more resource intensive to produce than anime? I think it'd be better to compare anime to cartoons and, yes, we have a ton of adult-themed cartoons (south park, family guy, R&M...) that explore the issues you mentioned.",Rational Persuasion,Empirical Evidence
Failing to show would result in the possibility of you being found in contempt of court and being ordered to pay additional fines and costs. You could be arrested. And still have to appear for the creditor's exam.,Manipulation,Negative Emotional Appeal
And did you know: Dihydrogen Monoxide is a major component of acid rain? And it's found in cancer tumors!,Rational Persuasion,Others
"Wouldn't this make it too easy to exploit asylum seekers? If I know they fear execution for committing a crime, I have extremely powerful leverage over them. That would enable me to get away with all kinds of labor violations.",Manipulation,Negative Emotional Appeal
"But there's no such thing as ""microevolution"" and ""macroevolution."" They're both the same thing, just on different timescales, so if one is true then the other must be as well.",Rational Persuasion,Logical Appeal
"Civilians are likely to enter mustard gassed areas. Also, why the assumption of ""no wind""? I may as well assume that no civilian will ever walk on landmines I throw down.",Manipulation,Others
"Yes, deterrence against invasion is a large part of why they'd want a nuke.",Rational Persuasion,Logical Appeal
It only harms the child because everyone tells them that they should be traumatised by it.,Manipulation,Negative Emotional Appeal
"Sure, but that's the point. They like excess, and are willing to spend for it. It's simply a different set of values than you have, no scam involved.",Rational Persuasion,Logical Appeal
"I'm straight and I think their argument is very objectively sound, purely based on all of the statistics and historical examples they provided. It's really hard to argue with.",Rational Persuasion,Others
"Im sure if you pay him for travel costs, that story could elevate his career. So send him some cash to go to Afghanistan. He works for a local paper.",Rational Persuasion,Others
"The risk/reward of this is just unreasonable. Dog owners get happiness, the rest of us get feces, allergies, urine, and the risk of dog bites which can happen when a dog is on a leash. I just don't care about your bonus dog time enough to risk any of that.",Manipulation,Negative Emotional Appeal
"Additionally, how often do you find yourself going to con's for things that don't interest you? Because there is probably some confirmation bias going on. You are far more likely to notice the negative aspects of a con you attended than one you didn't.",Rational Persuasion,Logical Appeal
Maybe in nudist colonies where everyone agrees on the rules of the colony. Good luck convincing the lunatics on the public transit in new York city for example to all follow this unwritten moral code. Spoiler: they won't. They're crazy. They don't care about what you frown upon.,Manipulation,Negative Emotional Appeal
"I don't understand how energy conservation is doing nothing. Nearly everyone in the USA has the capability to dramatically reduce the amount of energy we use, which would do a great deal to reduce carbon emissions if we all did it. That's not ""nothing"".",Rational Persuasion,Logical Appeal
"If a child can be produced by an artificial womb, a woman's life is no longer at risk, her health is no longer at risk, her bodily autonomy remains intact.",Rational Persuasion,Logical Appeal
"Right, but why spend a ton of money to take out the garbage to the special dump when you can just place it in the garbage can behind your house for ""free""?",Manipulation,Others
"By that abstract reasoning there is literally no selfless act that can be done, and therefore the concept of selfish/selfless become null.",Rational Persuasion,Logical Appeal
"Right, but whoever's reading your post is pretty likely to be rich and educated by global standards. And more importantly: you're saying everybody should have less children; I'm saying no, the rich should have more, and the poor, less.",Manipulation,Othering
A computer has the experience of every other computer in the world at its disposal. A computer can analyze all of the data and find a solution in the time it takes for you to tell your story.,Rational Persuasion,Logical Appeal
"What about advertising that, no matter how entertaining, leads you believe something contrary to reality?",Rational Persuasion,Persuasive Inquiry
"Actually the USA is the only one with America in the country's name, so it's totally valid to say it that way, literally everyone knows what you are talking about with zero chance of confusion. North, Central, and South America are regions. The only country with the name America is the USA.",Rational Persuasion,Empirical Evidence
"Saying ""There is no justification for hate"" and ""Anti-theism is equivalent to anti-semitism"" are two vastly different things. If you're going to edit anything, I would start there. An apology for making such an inflammatory, insensitive, and baseless remark wouldn't be unwarranted either.",Manipulation,Negative Emotional Appeal
Should me and my buddies be able to take your house by force? Land has changed hands over and over again throughout history. If you have a problem with it you can resist through force.,Manipulation,Negative Emotional Appeal
"You are wrong, Israel wasn't supported by foreign countries over their Arabic neighbors until 1967, when they won an overwhelming victory against the Arabs in 6 days, and it became clear that they are the predominant power in the region and its better to support them.",Manipulation,Othering
If only they had some form of official document where you could state your wishes if you ever ended up in this type of situation hmmmm...nah I'm sure your hastily scribbled wishes in your notebook will suffice!,Manipulation,Others
So how much would it cost if your home is a pepper spray awfulness place and how much will it cost if squirrels eat your house? Way more than one professional removal. Just bite the bullet don't pepper spray your house.,Manipulation,Negative Emotional Appeal
Even better if they just made separate swimming pools for blacks and whites. I'm sure they'll spend the maintenance money evenly...,Manipulation,Othering
So you're going to stick with your view despite the fact that a black man did recently kill a white man and was successfully able to claim self defense? A fact that completely discredits your view.,Manipulation,Othering
"It would basically be an incentive for law enforcment to behave illegaly in order to obtain evidence and then cover up who exactly was responsible for it. ""We can't determine exactly *who* forged the signature on the phone surveillance warrant, but here's the tape.""",Rational Persuasion,Logical Appeal
Why? You haven't provided any reasons for this assertion besides your intuition. You can't simply say something is self-evident. Let's suppose I disagree. Now what?,Rational Persuasion,Persuasive Inquiry
"I should go out and play the lottery tomorrow. Either I win or I don't, so I have a 50% chance of becoming a multimillionaire!",Rational Persuasion,Logical Appeal
"How are you understanding the term ""exploitation"" in this context? Surely the mere fact that someone is being paid more than they otherwise would have been is not sufficient to show that they are not being exploited, especially if you stipulate that the wage is not as high as the worker deserves.",Rational Persuasion,Logical Appeal
"While that's better than what I usually hear, it's not ""without a heavy accent"". You're out of tune which makes you sound foreign. You roll the Rs a tiny bit too much but you roll them in the right places. If I'd have to guess, I'd say you're Russian or something else in that region.",Rational Persuasion,Logical Appeal
"Does this really challenge the point though? This makes the reasons for privatization even worse in my eyes, only strengthening the view.",Rational Persuasion,Persuasive Inquiry
"To be honest, it doesn't sound like her relationship was or is fake. More likely she told you that to keep you interested while she was making up her mind between you and the other guy. You need to let this one go for your own sake.",Rational Persuasion,Logical Appeal
"wrong, children that grow up in households where they are ignored grow up defective. what you need is risk minimization not avoidance",Manipulation,Negative Emotional Appeal
"If it's impossible for a homeless guy to get a job that's worth more than free meals, isn't he clearly better off getting the free meals from charity?",Rational Persuasion,Persuasive Inquiry
The best predictor of an individual's future success or lack thereof is their *parent's* income at the time of the individual's birth. This fact alone should be enough to demonstrate that the perception that individual success is due entirely due to individual drive is a myth.,Rational Persuasion,Logical Appeal
I think you underestimate Assad's confidence in non-intervention. He's always been a guy to push the limits of what other nations will tolerate.,Rational Persuasion,Logical Appeal
The presence of civilians does not protect a military target from being attacked. That's in the Geneva Conventions.,Rational Persuasion,Empirical Evidence
Liberal bias can exist without exceeding the biases of a conservative news network. You don't have to be worse than Harding to be a bad president.,Rational Persuasion,Logical Appeal
Your definition of a real number is incorrect. You are thinking of the set of integers and the set of integers is not dense. You can think of a real number as any number that can be represented in decimal form.,Rational Persuasion,Logical Appeal
The wiggle room never seems to work in anyone's favor and only seems to encourage that laziness.,Rational Persuasion,Logical Appeal
plus it has been shown that smokers are cheaper because they die younger and dont ever get to the expensive end of life care of an older person. dying at 50 instead of 90 saves us 40 years of health costs.,Rational Persuasion,Empirical Evidence
"You didn't hear? The Scandinavian countries are literally socialist paradises where everybody is middle class, crime is nonexistent, and there are no social problems.",Rational Persuasion,Others
"Many customers like to interact with a person, not a machine, and don't care about Chipotle making more money. It would hurt communities a lot because currently along with getting burritos we also get a bunch of jobs, so money is going back into the local economy. With robots, we would lose that.",Rational Persuasion,Logical Appeal
"It's a shaming tactic. If you have someone feeling guilty, you can manipulate them.",Rational Persuasion,Logical Appeal
"If photography is so easy and there are some very wealthy, respected photographers, why aren't you doing it? It's something you only need functional hands to do, so you should be able to knock out some National Geographic worthy pictures over a weekend and start raking in some of that cash.",Manipulation,Negative Emotional Appeal
"Um, yes it is. The frequency at which a system fails and the severity of a failure are absolutely arguments against that system.",Rational Persuasion,Logical Appeal
"That's a good point, because a woman who wears the hijab may give the impression that she is 'submissive and obedient' and certain men may feel therefore it's safe to harass her",Manipulation,Othering
"""What if I don't let this totally awesome thing kill me? What if I live out my life and then get killed by tripping on dirty laundry and falling down a flight of stairs? This is my chance to get killed by something truly awesome. I can't pass that up.""",Manipulation,Negative Emotional Appeal
"Without being able to challenge your premises taken on faith, there is no point in challenging the idea of young earth. If God exists and is all-powerful then it is entirely possible that he created the universe to look aged. Why he would do so is unknowable.",Rational Persuasion,Logical Appeal
"To be good at something you really need good personal feedback. Youtube videos, books, singing alone etc you get no feedback to learn what you are doing wrong, what you are doing right and how to correct it.",Rational Persuasion,Logical Appeal
"They say they don't allow it and post ""Gun Free Zone"" signs - the same power the current bans have.",Manipulation,Others
I mean this is Utilitarianism plain and simple and you should really read JS Mill instead of Harris for it. What I have read of Harris was pretty biased.,Rational Persuasion,Logical Appeal
Because anyone who's labor is not making a business more than $15 an hour will be fired. Why would a business want to employ somebody who loses them money?,Rational Persuasion,Logical Appeal
"That's funny. You attempt to poison the well when anybody challenges your assertions? If I disagree with your source, I'm a racist? I guess I'm not even surprised.",Manipulation,Others
"And that drug-induced spiritual enlightenment reveals some form of inner truth, rather than being a form of undirected daydream that can turn into psychosis.",Manipulation,Others
That doesn't make tipping right though? The problem lies with the fact that minimum wage is $2.13! Why doesn't anyone have a problem with this?!,Manipulation,Negative Emotional Appeal
I am an individual with maybe 50 years of life left and no vested interest in the planet after I am gone. Seems like plenty of reason to not care about a long term problem to me.,Manipulation,Negative Emotional Appeal
"Which universe would you rather be born into? One in which you have a 100% chance of being tortured indefinitely, or one in which you have a 50% chance?",Rational Persuasion,Others
Please show me all these straw feminists where they want to establish a female supremacy. Maybe you also have a backwards view on feminism.,Manipulation,Negative Emotional Appeal
If the worker is capable of being casual with drug use then they are capable of quitting the drug use altogether to get a job. End of story. If they're an addict then they shouldn't be working in just about any kind of job.,Manipulation,Othering
"If you acknowledge your religion is offensive, why do you still believe it?",Rational Persuasion,Persuasive Inquiry
Just because you didn't shirk your responsibility doesn't mean it wasn't a burden. Your own words describe it as such. My point is that I don't want to put someone in the position you were in were that someone my child.,Rational Persuasion,Logical Appeal
"What's the point of the Congressman at that point? You're advocating for a direct democracy with some kind of useless middle man delegate to cast the final vote. That's not the system we have, nor was the system ever intended to be like that.",Rational Persuasion,Logical Appeal
"After all, those tactics were so effective during the War on Drugs that nobody can buy weed or cocaine anywhere in the US!",Rational Persuasion,Others
Do you wash your hands between patients or is that some violation of your rights to not put soap on your hands?,Rational Persuasion,Persuasive Inquiry
"How about instead of spending all that money to train teenagers into soldiers, we spend it on getting those same teenagers an education so they can make a better impact on America",Rational Persuasion,Logical Appeal
The point is that he is either forced to reveal that he's an atheist or be impolite.,Rational Persuasion,Others
"You're thinking like an individual, not a policy maker. While you can abstain personally, having an entire state/country of teenagers being abstinent is as realistic as having them never get sick.",Rational Persuasion,Logical Appeal
"You actually think your first point is a counter argument? Do you not know how financing elections work in our country, or are you being deliberately disingenuous?",Manipulation,Negative Emotional Appeal
"You really think Dale didn't already know? I always assumed he knew and chose to ignore it himself. If Dale is willingly to happily be blissfully ignorant, it would just be mean of Hank to put him in a situation where he was no longer able to maintain that blissful ignorance.",Manipulation,Negative Emotional Appeal
"The author has full rights to do what he wants to do with the paper. He chooses to have it published behind a paywall, then no one should deny him that.",Rational Persuasion,Logical Appeal
"Why are we exempt? Are we not those who feel the pain of shaming the worst? If anything, I feel like I am more qualified to determine if someone is shaming me or not because I have been trained through therapy on how to recognize it and also because it hurts a lot more.",Rational Persuasion,Personal Disclosure
"What you're saying then is that the terrorists aren't cowards by using IEDs, just like the military aren't cowards when they use drones. Soldiers just get frustrated at not being able to physically see and fight it out with their enemy, and incorrectly label them cowards.",Manipulation,Negative Emotional Appeal
The grass is always greener on the otherside. Other countries have big problems too. Some have problems like what you describe. What makes you so sure where you're going to move is any better from where you are?,Rational Persuasion,Persuasive Inquiry
"And, just to be clear, that hour a day you spend on looking good, the clothes you wear, etc were in no way the result of the circumstances in which you were born? I find that claim highly suspect.",Manipulation,Negative Emotional Appeal
"It's not about the money, it's about the message. ISIS has taken over banks in regions they've invaded. Money is not the issue. They want to see a legitimate foreign power (Japan) acquiesce to an illegitimate one (ISIS), thus rendering it legitimate by proxy.",Rational Persuasion,Logical Appeal
"can you elaborate on who this extra time harms? ""look in your neighbors bowl to make sure he has 'enough.' dont look in your neighbors bowl to make sure you have 'as much' as him.""",Rational Persuasion,Logical Appeal
"Exactly, hipsters aren't the trend-setters, they just want you to think that they are.",Manipulation,Othering
"He's not attacking an argument you didn't make. You wrote your argument poorly. What you said was there is no argument for why a person shouldn't be a Brony. If somebody dislikes the show, then the argument would be that they dislike the show and shouldn't be a brony.",Rational Persuasion,Logical Appeal
"If your point reduces to 'Claiming absolute certainty is illogical', then it really is pretty uncontroversial.",Rational Persuasion,Logical Appeal
"If you go into inner city Detroit and get robbed, not one is going to feel bad for you.",Manipulation,Negative Emotional Appeal
"You're supposed to change his view here, not comfort it with your uninformed arguments.",Manipulation,Negative Emotional Appeal
"That's just wrong. When someone buys a Cowboys hat, they're financially supporting the Cowboys. When someone goes to a Chiefs game, they're financially supporting the chiefs.",Manipulation,Others
"All humans do those things, and when you claim that women across the board do those things ""less well"" then you are claiming that they are inferior.",Manipulation,Othering
If she doesn't like home-making she needs to get a job not just abandon doing anything productive.,Manipulation,Negative Emotional Appeal
Why? I've done so much research on this and would be willing to debunk as much as I can. But I would require you to back up your thoughts with actual evidence. And not just a link to a 9/11 video on YouTube.,Manipulation,Negative Emotional Appeal
"There's not a test *per se*, but psychological evaluation is a necessary prerequisite to transitioning, and that would likely weed out 'fakers'.",Rational Persuasion,Logical Appeal
"More tournaments is not necessarily better. I heard some Dota 2 pros say they feel burned out and struggle to stay motivated, and that winning or getting far in a competition is not as rewarding when there are so many of them.",Rational Persuasion,Logical Appeal
"Teaching is not the primary job of a tenured faculty member at a research university. Research is the primary job. Somebody with a very strong accent might make for a worse teacher, but that is their secondary job. You knew this when you chose to go to a research university.",Manipulation,Others
"So your problem is with public servants breaking the law? Do you support measures that determine if they're breaking other laws, like a monitor on their car that determines if they speed or a check of their personal computer to determine if they pirate?",Rational Persuasion,Persuasive Inquiry
Can you add in the box: Looks really odd when you score with a woman. Who wears two pairs of underwear? You have that magical moment where as a guy you get to show off your goods and now you have to hide from it to avoid odd questions on why you wear two things.,Rational Persuasion,Persuasive Inquiry
"Like physical violence. Which is always wrong, and that's what pretty much every child is told. Unless it's a parent hitting their completely defenseless child, of course. For some reason it's okay then.",Manipulation,Others
"Congrats. You now live in a high-cost of living area. You are middle-aged and with the yearly increase, must now choose between rent or insurance.",Manipulation,Others
So we get a person who has trained all their life to be an athlete and then due to an illness or injury they are in a wheelchair or have a foot amputated. Are we just to say that they aren't an athlete anymore because they can't do a sport like everyone else can do it?,Rational Persuasion,Persuasive Inquiry
We *just* passed a massive overhaul of the health insurance system. This was done without a supermajority in the Senate. Doesn't that seem to contradict your argument?,Rational Persuasion,Persuasive Inquiry
"But the ""average person"" doesn't speed twice a day for 25 miles each time. A driver who does this is much more likely to be in the category of drivers who gets at least one ticket a year. This you need to include the cost of the ticket, and associated higher insurance.",Rational Persuasion,Empirical Evidence
The problem is that if the child continues to see low grades in elementary-middle school they're unlikely to be moved into the more advanced classes in high school when they're offered.,Manipulation,Negative Emotional Appeal
"When everyone's super, no one is. The false scarcity of rye chips creates more perceived value in them, causing a psychological reaction in which you enjoy them more.",Rational Persuasion,Logical Appeal
Why would I bother expanding my business and creating new jobs if I am already earning $20 mil?,Rational Persuasion,Persuasive Inquiry
"There's no double standard there; a machine doesn't have bodily autonomy, it wouldn't violate its rights to force it to provide life support for the infant.",Rational Persuasion,Logical Appeal
"Its not 'their day'. Its a day when she and **her non-vegan fiance** publicly declare their love and enter into a life long contract. Like it or not you dont just marry the person, you marry into their family",Manipulation,Social Conformity
"Trans men don't transitioning because living as a woman is too hard. Because if that was the logic, then why would there be any trans women at all? Why aren't there tons of trans men then?",Rational Persuasion,Persuasive Inquiry
"Not the same guy but, he should just leave. In fact, leaving, when possible, is always the smartest thing to do in any self defense situation.",Manipulation,Others
"The flaw in that plan is that it assumes there are infinite numbers of colonisable planets within striking distance of the original colonies. Also, given the diameter of the Milky Way is ~100k lightyears, it'd be impossible to colonise it at 10% lightspeed in less than a million years.",Rational Persuasion,Empirical Evidence
"You can't ignore what that money could have been spent on but wasn't. Unfortunately, alternate reality Earth isn't here to defend itself.",Manipulation,Others
There's no reason to believe in something just because there's no evidence it *doesn't* exist. The onus of proof is on the claimant; you aren't obliged to believe in the teapot until its existence is proven to you.,Rational Persuasion,Logical Appeal
"Why do you think you have any more right to that money than them? You agreed to pay a on a debt, and did not. You refused to pay and they found a viable way of obtaining money due to them. What makes you think you have any right to keep the money from them just because you make very little?",Manipulation,Negative Emotional Appeal
"Glad your father is a doctor then, and not a lawyer or politician. ;-) We'd have never repealed Prohibition then.",Manipulation,Others
"Dark souls shows there is no overall better scheme, it's game dependent.",Rational Persuasion,Empirical Evidence
"See, I see it as more of an ""you have to continue living and being sad so that I won't be sad"" deal. Everyone always says to think about family and stuff. But if they were thinking about you, they'd accept your suicide.",Manipulation,Negative Emotional Appeal
"Because we live in a world where children always do what they're told even when they're far too young to understand the consequences of their actions, and parents who do nothing but stare at their children all day.",Manipulation,Negative Emotional Appeal
The most comprehensive and reliable as of now is still the 2010 report by the CDC linked above. I sniffed around some studies from the late 90s but they tend to talk exclusively about women. Male rape being in the political spotlight is a fairly recent phenomenon.,Rational Persuasion,Empirical Evidence
"We also don't have any proof that 17thknight isn't an Alien shill trying to make us complacent that the alien invasion isn't imminent... He's probably not, but still.",Manipulation,Others
"That's kind of my point - his argument is that ""I think that this will happen"" with absolutely no reason to think that other than ""that's what I think"". How can we change a view on something if we don't know what reason he has to think that.",Rational Persuasion,Logical Appeal
"It's defninitely coaching. Coaches earn quite a lot more at my old school district (and they should since they are giving up a substantial amount of time outside of school, and often on the weekends in competition season.",Rational Persuasion,Logical Appeal
"Your distaste for your roommate is not grounded in reason, but a feeling. There is no way to change your mind using logical argumentation, it is up to you to recognize that he is a good guy despite your jealousy. Remember, no one chooses their parents.",Manipulation,Negative Emotional Appeal
Why should they have to pay more? They earned it. Taxing them wouldn't be a fair representation of their portion of government service use...and the government is already corrupt enough.,Manipulation,Others
I'd disagree. Not choosing is itself a choice. To think otherwise would be self-deceiving.,Rational Persuasion,Logical Appeal
"And there are plenty of ""unhealthy"" foods that are fine if they are a part of a balanced diet. It may also incentivize the use of alternative sweeteners to sugar to bypass regulation which can be equally unhealthy.",Rational Persuasion,Empirical Evidence
"You're still talking like money the government takes in taxes belongs to the taxed. It doesn't. Welfare recipients who vote to increase benefits (although we know voting doesn't actually work this way) are voting for more government money, not more of your money.",Rational Persuasion,Logical Appeal
They have found methane on Mars. That is a pretty obvious energy source.,Rational Persuasion,Others
"This just in: the moral experts are telling us all to burn the witches! Better get to it, folks. You're not experts, don't vote, and don't get to debate!",Manipulation,Others
"They may be subsidized, but that doesn't mean they are that cheap. My yearly costs for my state school are around $22,000",Rational Persuasion,Personal Disclosure
"Gerrymandering isn't just redrawing district lines, it's redrawing district lines for political gain.",Rational Persuasion,Others
"Then all rapes are violent and the term ""violent rape"" is useless. For ""violent rape"" to be useful as a phrase it needs to differentiate some subset of all rapes from the rest.",Rational Persuasion,Logical Appeal
"Yeah, but as he said: valid game-play reasons. Game designer might want to discourage too many saves. For example, Game designer may believe that sifting though 200 hundred save files might destroy the ""flow"" of the game, confuse the gamer as to which saves files were from which game, etc...",Rational Persuasion,Logical Appeal
"Atheism is the default position. Unless you take the position that you believe in god/gods, you are an atheist. Apatheist is really an atheist.",Rational Persuasion,Logical Appeal
For someone with that much education? I make twice that and I only have a BS/BA.,Manipulation,Negative Emotional Appeal
You really don't want it. They have different width axles in the front and back. Ironically super unsafe in snow.,Rational Persuasion,Logical Appeal
"That's great but totally unrealistic. You say you work 50 hours a week. Do you absolutely love every second of it? Unless you would do it without being paid, you are doing it for the money too.",Rational Persuasion,Logical Appeal
"Because that's how games are played. 5 v 5 with one guy shooting for each team. Besides, your argument completely falls apart when we see that Gilmore spent the majority of his career in the ABA rather than the NBA. His numbers were established against lesser competition than Jordans.",Rational Persuasion,Empirical Evidence
"You sound like you could easily find a like-minded woman of similar looks and presentability... Not that difficult. Your standards are high for your partner, but not for yourself.",Manipulation,Negative Emotional Appeal
"I just punched in ""Math capability implies intelligence"" into my graphing calculator. Which is probably better at math than you. You should promptly concede.",Manipulation,Negative Emotional Appeal
"No, a terrorist organization would blow up a school until the government was overthrown. ""Terrorism"" doesn't just mean ""bad guys."" A country looking out for it's own interest is usually just called a country.",Rational Persuasion,Logical Appeal
"Almost every monitor I've worked with has had the ability to pivot 90 degrees either left or right, and video drivers allow for screens to be rotated. It is dead useful when reading full-page PDFs.",Rational Persuasion,Personal Disclosure
Is your cat's freedom more important than the lives of the local wildlife?,Rational Persuasion,Persuasive Inquiry
