text,first_label,second_label
"You really think Dale didn't already know? I always assumed he knew and chose to ignore it himself. If Dale is willingly to happily be blissfully ignorant, it would just be mean of Hank to put him in a situation where he was no longer able to maintain that blissful ignorance.",Manipulation,Negative Emotional Appeal
"What you're saying then is that the terrorists aren't cowards by using IEDs, just like the military aren't cowards when they use drones. Soldiers just get frustrated at not being able to physically see and fight it out with their enemy, and incorrectly label them cowards.",Manipulation,Negative Emotional Appeal
"And, just to be clear, that hour a day you spend on looking good, the clothes you wear, etc were in no way the result of the circumstances in which you were born? I find that claim highly suspect.",Manipulation,Negative Emotional Appeal
"Exactly, hipsters aren't the trend-setters, they just want you to think that they are.",Manipulation,Othering
"If you go into inner city Detroit and get robbed, not one is going to feel bad for you.",Manipulation,Negative Emotional Appeal
"You're supposed to change his view here, not comfort it with your uninformed arguments.",Manipulation,Negative Emotional Appeal
"All humans do those things, and when you claim that women across the board do those things ""less well"" then you are claiming that they are inferior.",Manipulation,Othering
If she doesn't like home-making she needs to get a job not just abandon doing anything productive.,Manipulation,Negative Emotional Appeal
Why? I've done so much research on this and would be willing to debunk as much as I can. But I would require you to back up your thoughts with actual evidence. And not just a link to a 9/11 video on YouTube.,Manipulation,Negative Emotional Appeal
The problem is that if the child continues to see low grades in elementary-middle school they're unlikely to be moved into the more advanced classes in high school when they're offered.,Manipulation,Negative Emotional Appeal
"Its not 'their day'. Its a day when she and **her non-vegan fiance** publicly declare their love and enter into a life long contract. Like it or not you dont just marry the person, you marry into their family",Manipulation,Social Conformity
"Why do you think you have any more right to that money than them? You agreed to pay a on a debt, and did not. You refused to pay and they found a viable way of obtaining money due to them. What makes you think you have any right to keep the money from them just because you make very little?",Manipulation,Negative Emotional Appeal
"See, I see it as more of an ""you have to continue living and being sad so that I won't be sad"" deal. Everyone always says to think about family and stuff. But if they were thinking about you, they'd accept your suicide.",Manipulation,Negative Emotional Appeal
"Because we live in a world where children always do what they're told even when they're far too young to understand the consequences of their actions, and parents who do nothing but stare at their children all day.",Manipulation,Negative Emotional Appeal
"Your distaste for your roommate is not grounded in reason, but a feeling. There is no way to change your mind using logical argumentation, it is up to you to recognize that he is a good guy despite your jealousy. Remember, no one chooses their parents.",Manipulation,Negative Emotional Appeal
For someone with that much education? I make twice that and I only have a BS/BA.,Manipulation,Negative Emotional Appeal
"You sound like you could easily find a like-minded woman of similar looks and presentability... Not that difficult. Your standards are high for your partner, but not for yourself.",Manipulation,Negative Emotional Appeal
"I just punched in ""Math capability implies intelligence"" into my graphing calculator. Which is probably better at math than you. You should promptly concede.",Manipulation,Negative Emotional Appeal
"Yeah, you need to be really smart to be born as a rich parents child. It's not like having powerful connections, all the resources you might need to grow, free money to pursue anything you like (among other things) would help in terms of success.",Manipulation,Othering
"The region was a cauldron of violence for 5 thousand years but, yeah, I guess it's all due to the USA.",Manipulation,Othering
One argument against this is that it allows the government to hide the cost of the tax. The government could theoretically continue to crank up the tax a couple percentage at a time and soon you find yourself paying an exorbitant amount of your income in taxes without realizing it.,Manipulation,Negative Emotional Appeal
"He's not the one asking for a change. She is. Why would he carry a burden? Besides, the mom risks being liable for a federal crime if she flees across state lines to interfere with the rights of another parent.",Manipulation,Othering
So your not concerned by how sketchly she has handled herself over the last Decade?,Manipulation,Negative Emotional Appeal
not even close to rule 2... your STEM bias is practically slapping us in the face. And your not willing to change your view so it is boring and overdone,Manipulation,Negative Emotional Appeal
"I didn't say *all* women, or even all feminists, but the fact is that some *do.* If you're unwilling to acknowledge facts, no, we really *don't* have anything to discuss.",Manipulation,Negative Emotional Appeal
"Nobody should wear seat belts, because it might make them drive in a more risky manner.",Manipulation,Negative Emotional Appeal
Others shouldn't be allowed to get someone arrested because they can't handle a word.,Manipulation,Othering
"Do they? Because while they talk about med students and such, they also claim teenage and college-age women fall over themselves to date 35 year olds, because older men already make good money.",Manipulation,Othering
"Try taking French at a Catholic school. Then try being rapped over the knuckles with a ruler every time you say ""pair-us"" or some other mispronunciation. See how easily you untrain that.",Manipulation,Negative Emotional Appeal
"You sound very sure of yourself. Almost religiously so. To echo an earlier poster, can you prove that you are not delusional?",Manipulation,Negative Emotional Appeal
They should have realized they could be a failure on TV when they consented to be on the show.,Manipulation,Negative Emotional Appeal
"As far as I'm aware, the Confederate flag is not the national flag of the United States. The United States flag is. It's a little ridiculous that a student in the United States cannot wear a shirt bearing the flag of the United States.",Manipulation,Negative Emotional Appeal
"You understand that the one thing that's prevented this from already happening is China, right? Flip it around: if China invaded Mexico, do you really think the U.S. *wouldn't* get involved? You're a victim of your own wishful thinking.",Manipulation,Othering
There are studies that show that the baggy sweatpant girl is more likely to be the victim. Her dress is an indication that she has less confidence and will put up less of a fight.,Manipulation,Othering
"I was trying to make grilled cheese and when I bit into it I realized the grocery store gave me molded cheese, nobody should make grilled cheese it's easier to go to Panera Bread and buy their grilled cheese sandwich",Manipulation,Social Conformity
"So basically you think Western ideals are preferable to Eastern ones because you're from the West? I think the fact that you put such importance on ""job satisfaction,"" ""faster promotions,"" and ""hotter girls"" shows that Western ideals aren't all that spectacular.",Manipulation,Othering
"Can we please abandon, ""everyone can do what they love!""? That is nonsense. Whose dream is it to clean septic tanks or clean up roadkill?",Manipulation,Othering
You're taking away a chance for your current SO to be in a relationship with someone who actually respects them. Your guilt will affect the relationship too,Manipulation,Negative Emotional Appeal
"Including the reposibility of having an abortion if they don't want a baby, right? Because that's one way to deal with the consequences.",Manipulation,Negative Emotional Appeal
"5.4 million cats get hit by cars every year. If that doesn't put it in perspective, nothing will.",Manipulation,Negative Emotional Appeal
"Right to privacy has definitely decreased, however violence and violent deaths have decreased. Personally, the right to life is the most important human right, and this has been improving for decades. You can't just forget that we're living in the least violent time of human history.",Manipulation,Negative Emotional Appeal
"It is apparent that *you* can't talk about this issue intelligently, that's why you came up with a response that doesn't address any of the points they just made.",Manipulation,Negative Emotional Appeal
It's ridiculous to create a completely useless burden on bicyclists in order to disincentivize auto use.,Manipulation,Negative Emotional Appeal
"Christians absolutely have a duty to the truth. If they post false stuff and *don't really care* if it is true or not, that is hypocritical of them. If they believe it IS true, though, then maybe they are incorrect, but not hypocritical.",Manipulation,Othering
"An escaped prisoner is a threat, a dead prisoner...well I'm sure I don't have to explain that further.",Manipulation,Negative Emotional Appeal
"I'll ignore the transgender part, because I think it's ridiculous to think preferring natural born women/men is bigoted. With regards to race, attraction is about appearance, and one clear difference in races is appearance.",Manipulation,Othering
"My girlfriend doesn't mind. I like the implication that I'm gay being thrown out there like it would make me some sort of terrible person, like a child molester. I'm guessing from thar and the deleted post and reference to rule VII you may be busy proving my point here.",Manipulation,Negative Emotional Appeal
The anti-pills crowd seems to think so. I have ADHD and I roll my eyes everytime somebody says it's a BS condition meant to sell more drugs to children.,Manipulation,Othering
So you don't believe that humans are beings who have the biological drive to reproduce? Because your posting style on this issue indicates that.,Manipulation,Negative Emotional Appeal
"Great strategy, labeling those that would disagree with you ""trolls"" before they even have a chance to respond. Brilliant!",Manipulation,Negative Emotional Appeal
Do you truely think there is nothing I can be taught and nothing I can do to reduce my chance of getting murdered? Do you believe there is nothing women can learn or do to reduce their chances of getting raped by someone they know? I disagree with both of these points.,Manipulation,Negative Emotional Appeal
"Dude, just surround the pool with razor wire, and you'll be fine. Kids won't get anywhere near it.",Manipulation,Negative Emotional Appeal
"What realistic method do you have for enforcing this, assuming it could ever become a law? Forced abortions? Murder of unnecessary children?",Manipulation,Negative Emotional Appeal
"I wasn't aware the amish lived in lavish mansions while having ""volunteers"" work for them for $50 a week.",Manipulation,Othering
"I'm sorry I just can't take someone who uses the words 'male privilege' seriously, seriously.",Manipulation,Negative Emotional Appeal
"not gonna lie, what 16 year old only drinks two beers? if you drink as a kid you drink because you like the feeling, try like 6-7 beers",Manipulation,Negative Emotional Appeal
"You don't get to redefine words, first of all. Other comments already pointed out the incredible flaws in your ideas, like the fact that demand incentivizes offer.",Manipulation,Social Conformity
Your reasoning is ridiculous (especially for My Name Is). I don't think you understand Eminem and his jokes.,Manipulation,Negative Emotional Appeal
"Why would we do this? You can dream all you like, but the reality is much different.",Manipulation,Negative Emotional Appeal
Social isolation is one factor that can contribute to depression. Without friends you don't have anyone to help you through whatever other stresses occur in your life.,Manipulation,Social Conformity
"Well if your name is so obviously of a certain ethnicity, changing the race you choose to something other than your own will raise red flags.",Manipulation,Othering
"And inadvertently punched down at minority French Muslims without caring that their punches hit them too, which is precisely why they're not heroes.",Manipulation,Othering
"Yeah... I'm gonna need another link other than one to a site whose front page story is currently about the ""myth"" of climate change.",Manipulation,Negative Emotional Appeal
"Like I said, it takes time and money. If you don't have that, you shouldn't have gotten a dog in the first place.",Manipulation,Negative Emotional Appeal
Was trying to convey your point's moot as Palestine doesn't really have an infrastructure to allow them any chance at standing on their own two feet.,Manipulation,Othering
"The best way to change your view is to just do nothing. Eventually your views will drive a wedge between you and your boyfriend, he (or you) will leave and you will see firsthand whether money is more important than a meaningful relationship.",Manipulation,Negative Emotional Appeal
You've got a serious problem with stating what you wish were true as if it were fact.,Manipulation,Negative Emotional Appeal
You don't get to avoid an insubordination charge by being proved right lol. It doesn't work like that.,Manipulation,Negative Emotional Appeal
"That's not all he's cut. ZING The evidence he needs is that the majority of men who are for circumcision are, themselves circumcised, and vice versa. Saying ""I represent the minority!"" only proves his point. To change his view, you need to get a rally cry going.",Manipulation,Othering
Chat filters and to confuse my 12 year old super Christian friend at school. He didn't know what ANY of those censored words meant before we corrupted him...,Manipulation,Negative Emotional Appeal
Yes. When a state and another state disagree vehemently and fundamentally then one must compel the other to their will with force. If it has always been wrong then the Palestinians shouldn't have been on that land in the first place.,Manipulation,Othering
From any job? Do you want heroine addicts teaching kindergarten? What about morphine addicts working in hospitals? How about meth smoking firefighters? At some point there is just a conflict of interest for what the demands of a job are and what the effects or a drug are.,Manipulation,Negative Emotional Appeal
"If we have some sort of working class revolution, the rebels aren't going to march on the pentagon, they're going to raid the wealthy suburbs and start killing millionaires. Our military is huge, but it isn't big enough occupy the whole country and the rich are vulnerable.",Manipulation,Othering
"Who gets to decide what ideas have merit? Cause if it's me, you wouldn't be able to say what you just did.",Manipulation,Negative Emotional Appeal
"On the other hand, why on earth should I hire Worker A? To me, that's just a good justification to not hire smokers.",Manipulation,Othering
The entire NBPA could very well go on strike unless he sells the team.,Manipulation,Scarcity
I don't mean to be insulting but did you not learn this simple explanation in middle school or even elementary school??!! I seriously heard this exact same analogy for what an economy is and why specialization changed the world about 10 times before the age of 14...,Manipulation,Negative Emotional Appeal
"I always saw smokers as being gullible, unable to judge risk, impulsive and easily effected by marketing.",Manipulation,Othering
The primary drawback being that your words are judged on their own merits...*by a bunch of 12 year olds.*,Manipulation,Othering
"Right, so, how exactly are we supposed to change your view if your view is ""my taste is good""? Do you have any idea what something that would change your view even looks like? Were you looking to be able to appreciate the ""bad"" lyrics more? Why did you post this thread?",Manipulation,Negative Emotional Appeal
Um at this point I'm just going to think that you really don't have anything of merit to say and walk a way.,Manipulation,Negative Emotional Appeal
Almost all democracies at the time survived the Great Depression and both World Wars. You're frankly just wrong.,Manipulation,Negative Emotional Appeal
"More importantly, look for easy hookups on your own level of attractiveness. If you're a 4 and you're messaging 8's and 9's trying to hookup, you're not going to have a lot of luck. Start messaging 4's, and you'll see your success rate improve dramatically.",Manipulation,Othering
"If you actually feel that the time we have on Earth is all our time, why are you letting it go. Relish each moment. I mean you weren't scared that you weren't around in 1870. Don't be scared that you might not be around in 2070.",Manipulation,Scarcity
"You're missing the fact that the drivers unions have long lobbied to keep those regulations in place to limit supply. Perhaps not the drivers themselves, but their representatives are as much to blame as the regulators.",Manipulation,Othering
"I used to think they were just a circlejerk, until they came out in support of doxxing.",Manipulation,Othering
"These are the words of someone whose bluff has been called. Don't assert the existence of studies backing your position if you're not willing (or able, because they don't exist) to deliver.",Manipulation,Negative Emotional Appeal
"I'm going to back out of this now and encourage you, with all my heart, to never believe you could possibly home school your children. You are correct. Your children will be worse off for your effort.",Manipulation,Negative Emotional Appeal
"So a father raises his daughter through out her life, and when she turns 18 they get together, do you think that that is ok? It creates a situation where adults can groom their children into being with them.",Manipulation,Negative Emotional Appeal
"This is a clear example of feminists not fighting for equal rights, but to preserve female privilege.",Manipulation,Othering
you mean points like: you generalize you demonize America you don't realize what soldiers actually do you think you live in a much nicer world then you actually do you don't look at the bigger picture ?,Manipulation,Negative Emotional Appeal
You're arguing for the divine right of stagnation. Things change. Adapt or suffer.,Manipulation,Negative Emotional Appeal
You have a view that you say is a gut feeling and has no thought put into it. You should change that view because it's a gut feeling and has no thought put into it.,Manipulation,Negative Emotional Appeal
You could probably find someone to spend the night with if you let your standards plummet too. Keep in mind that pretty girls aren't the only girls out there.,Manipulation,Othering
"Granted. Anyone who cannot afford to clothe, feed or shelter themselves, but continues to buy cocaine can either get some free help at my expense or get off the federal teat. I think this is an extremely small amount to ask.",Manipulation,Othering
"If there were no difference between the punishments for molestation and murder, it would make sense to murder kids you molested if you were the least bit suspicious they would ever expose you.",Manipulation,Negative Emotional Appeal
If you have to ask - if you don't realize that the Daily Show has an agenda and isn't news - then you're not going to accept the answer anyway.,Manipulation,Negative Emotional Appeal
How could you go a full day without finding enough time for a task that takes at most a minute? No one is that busy.,Manipulation,Social Conformity
"If your criteria for ""bad invasive species"" is ""makes small bird and mammal species go extinct,"" then rats are the second biggest baddest thing out there. After humans.",Manipulation,Negative Emotional Appeal
Or just be negative about everything and call them anti-choice and pro-abortion...,Manipulation,Negative Emotional Appeal
Well considering the past few years of congress have been some of the least productive in the history of the US can any president really promise anything? And if that's the case why bother electing anyone as president?,Manipulation,Negative Emotional Appeal
"When someone gets robbed do you say ""lets educate the thief"" or do you say ""let's advise the homeowner to lock their door."" The idea that women shouldn't take an active role in their own safety is mind-numbing. And no it doesn't make you a rape apologist to suggest they do.",Manipulation,Negative Emotional Appeal
You don't think seizing control of a country requires work? And I'm the one confused?,Manipulation,Negative Emotional Appeal
"Modeling (for art and the like) is *very* physically demanding. And you are coming from a position of ignorance, so how can you be so confident if you have no idea?",Manipulation,Negative Emotional Appeal
You don't have the right to give away my rights because you are to scared to live with freedom. *Edit: Words,Manipulation,Negative Emotional Appeal
"And then the child will totally not mind having divorced parents, because they'll be a living, breathing memory.",Manipulation,Negative Emotional Appeal
"Your belief is impossible to disprove, because even if a woman says she wants to wear these you can simply claim she has been brainwashed to say it.",Manipulation,Othering
And if you actually report to your employer that you made under minimum they will start looking for reasons to fire you.,Manipulation,Negative Emotional Appeal
"wage slavery doesnt count when its a government job? they are not strictly voluntary they are quite forced on lower classes w/ minimum wage laws forcing them to look for ""hazard pay""",Manipulation,Othering
"If the human body is asphyxiated without Co2, they do not feel put of breath. They just fade away. IMO pure nitrogen asphyxiation is the way to go. Cheap, painless, easy, peaceful.",Manipulation,Negative Emotional Appeal
"When the choice is between being homeless and X, that's not a choice in any meaningful sense.",Manipulation,Othering
"If somebody loses interest that easily, they clearly didnt care that much to begin with.",Manipulation,Negative Emotional Appeal
"A weapon which can fire bullets. You can build one, too. It's ridiculously simple.",Manipulation,Negative Emotional Appeal
"Oh I'm getting real tired of this debate(also my karma is suffering alot), I'm just pointing out absurdities to move on Your position isn't even that bad, nothing erases history; but its not yours, you didn't live through it.",Manipulation,Negative Emotional Appeal
Yes I get it that you are bored and frustrated (so are acting immature). So are a lot of non-gifted children and many adults. Being bored and acting immature is a trivial problem compared to the problems facing special needs children and our allocation of resources should reflect this.,Manipulation,Negative Emotional Appeal
"Did you look at the studies? The problem IS institutionalized prejudice, not a minority of raving bigots, but unintentional racism.",Manipulation,Negative Emotional Appeal
"I really doubt anybody would complain about someone mocking a French accent, or a German one. I call white guilt on the whole situation.",Manipulation,Othering
"That's cool and all, but as a Caucasian immigrant, why am I getting the short end of the stick compared to a Jamaican immigrant in terms of government breaks, free education, 'affirmative action', etc.? 'Affirmative action' is a clear example of institutional racism - by definition.",Manipulation,Othering
"Life isn't fair. It's not a pleasant truth, but it's the truth nonetheless. And your efforts to make everything fair are flawed. You just want to make the lucky the unlucky and the unlucky the lucky. It's still unfair.",Manipulation,Negative Emotional Appeal
You think that the ivy educated daddy funded members of the workforce don't have better social skill set than you?,Manipulation,Negative Emotional Appeal
"The benefit would be miniscule in all of those areas, and trumped by earlier negatives. You're still less likely to go to college and more likely to be unemployed - the rate is more than double. You're more likely to have all of the things you mentioned if you're white - except for maybe sports.",Manipulation,Othering
"Ah yes, I often find insulting their intelligence to be a good way of getting through to teenagers...",Manipulation,Othering
I'm sure all those bullet-proof BLM employees were upset with the PR. Department at that decision!,Manipulation,Negative Emotional Appeal
"Also, Israel has actually given up plenty of land, but the Arab states actually have explicitly stated that they will not give up until Israel is destroyed.",Manipulation,Othering
Do you expect me to believe that everyone thought they would have a perfectly safe electoral experience while a Russian army is outside their window?,Manipulation,Negative Emotional Appeal
Of course they do. They have the right to tell him they dont want to live with him becuase hes ginger. They dont need a reason.,Manipulation,Othering
"Being a commodity gives you INHERENT value. A man has to own commodities to have value, he has none inherently. This is why the amount of homeless women is much lower than homeless men. She can own nothing but she still has value. A man who owns nothing has no value.",Manipulation,Othering
You sound like a very bad manager and you should not be in that role if you do not care about your subordinates enough to take them seriously just because they handle things differently than you.,Manipulation,Negative Emotional Appeal
What about Indonesia? Indonesia has the world's most Muslims and it does none of those things you mentioned. You're conflating religious extremism with religion.,Manipulation,Othering
"You are suggesting a grand social experiment that almost no one wants. Where are these modern, progressive polygamists demanding a new form of marriage? Is there even one woman out there who wants to marry multiple men?",Manipulation,Negative Emotional Appeal
Oh you mean like when Erin Pizzey started a men's shelter in the UK and feminists threatened to kill her and burn down her home?,Manipulation,Othering
"The very poor, even in this country, are in fact starving, homeless, and in need of medical care. Not sure how you can overlook this.",Manipulation,Negative Emotional Appeal
If someone is complaining about mexicans stealing their jobs they're probably not the best example of accuracy when using terms to describe things.,Manipulation,Othering
"He is one of the misguided polish nationalists. He's most likely in his late teens, early 20s. He didn't grow up in the communist Poland, he is too young to remember pre-EU, pre-Nato Poland and the Polish far right loves Putin.",Manipulation,Othering
"By this train of thought, a committed environmentalist should commit suicide to lessen their impact on the planet, right?",Manipulation,Negative Emotional Appeal
lol you don't want your view changed. You came to this sub to post a soapbox argument and don't like being told you're wrong.,Manipulation,Negative Emotional Appeal
"Why not? What's the difference? If the difference is just your incredulity obviously that's not a very good difference, is it?",Manipulation,Negative Emotional Appeal
"Agreed. No one ever does this. It would be way better to foil one person to be eliminated rather than spreading the pain. Further, you only piss off one person when the retaliation comes.",Manipulation,Negative Emotional Appeal
Then you should give up your stuff. You are fabulously rich to the vast majority of the world. Why don't you hold yourself to the same standard?,Manipulation,Social Conformity
"Assuming you're being honest, you have a very unusual taste, so you should be careful with drawing general conclusions based on your own taste. Almost all straight women/gay men will find the 10-12% more attractive.",Manipulation,Negative Emotional Appeal
"Wait you're suggesting that you shouldn't take your kid to Disney, a place specifically designed for children? I mean I'm not a fan of parents who leash their kids, but I greatly prefer to that to the little monsters who run around terrorizing stuff. edit: also, wtf is a bey blade section",Manipulation,Negative Emotional Appeal
i think that's a bit of a gamble and can place your children in some serious legal trouble.,Manipulation,Negative Emotional Appeal
"If you don't see how bringing up where they were or how they were dressed or any other detail and telling them, ""If you hadn't done that you wouldn't have gotten raped."" is anything other than twisting the knife in a fresh would, I don't know what else to tell you.",Manipulation,Negative Emotional Appeal
Because they know that if they cause problems everyone else will not hesitate to gang up on them,Manipulation,Othering
"Ethically and morally it should be everyone is able to get the benefits of marriage or no one should. Your closing line sounds a lot like ""screw you I got mine"" mentality.",Manipulation,Social Conformity
"I'm no doctor, but I'm pretty sure that kid is faking being unconscious because he knows I'll give him a Jolly Rancher.",Manipulation,Negative Emotional Appeal
"Literally everyone who does not smoke. Furthermore, if you think you need to smoke after a hard lecture, there's a problem.",Manipulation,Negative Emotional Appeal
They should get them the sooner the better. If they dont are the not more susceptible to diseases that they wouldnt be able to fight off on their own?,Manipulation,Scarcity
The cycles are worse without countercyclical monetary policy. That's just an empirical fact. You can't just ignore reality.,Manipulation,Negative Emotional Appeal
"Here's an experiment: 1) Google ""White Pride."" 2) Google ""Black Pride."" 3) Read the first 10 links on each, and report back which one tends to talk about the superiority of their race.",Manipulation,Othering
"Is there anyone at the party who the passed-out drunk girl knows and trusts? If not, she's probably safer than the girl standing with her friends, especially if one of her friends offers to walk her home for her safety. Seriously.",Manipulation,Negative Emotional Appeal
"We have conscious thought, civilization, technology, writing, language, recorded history. No other animal has a single one of these. We are so much more capable than any other animal in almost every way. This is what makes human lives more valuable than any other animal.",Manipulation,Othering
"But if this were rational, you would pet small dogs because your fear of social consequences would outweigh your fear of nipping, right? Being nipped is mildly annoying while being judged a dog-hater can cost friendships.",Manipulation,Social Conformity
"What if we elect a president with a peanut allergy and his motorcade breaks down at your house and he wants a snack because it's taking so long to fix it? Now what? You've killed the president, that's what. Good job.",Manipulation,Negative Emotional Appeal
"I would seriously judge your commitment to look for a better way of ""correcting"" the behaviour. Spanking doesn't really causes long term (*physical*) damage to a child, a belt to the face would. You don't kill a fly with a cannonball.",Manipulation,Negative Emotional Appeal
Then we need to work on teaching them the right way? I don't understand your argument. There's no question that mandatory medical training will prevent many deaths.,Manipulation,Negative Emotional Appeal
"That apathy might be what's driving you toward an extreme lifestyle in the first place. If you want to *feel* something, you can, you don't need to live an extreme life. Right now, for you, caring is a choice that you have to consciously make.",Manipulation,Negative Emotional Appeal
